date,Vegetable-Pettah-Wholesale-Beans,Vegetable-Pettah-Retail-Beans,Vegetable-Dambulla-Wholesale-Beans,Vegetable-Dambulla-Retail-Beans
3/1/2021,125,140,125,145
3/2/2021,135,155,83,103
3/3/2021,130,160,135,155
3/4/2021,130,160,155,175
3/5/2021,130,160,125,145
3/8/2021,123,140,125,145
3/9/2021,130,140,145,165
3/10/2021,130,160,145,165
3/12/2021,140,160,133,153
3/15/2021,220,250,175,195
3/16/2021,190,200,195,215
3/17/2021,180,200,205,225
3/18/2021,175,200,195,215
3/19/2021,170,180,185,205
3/22/2021,178,220,175,195
3/23/2021,200,230,175,195
3/24/2021,200,230,175,195
3/25/2021,190,230,155,175
3/26/2021,190,230,115,135
3/29/2021,190,230,178,198
3/30/2021,173,230,155,175
3/31/2021,177,220,168,188
4/1/2021,175,200,135,155
4/5/2021,140,160,135,155
4/6/2021,110,135,145,165
4/7/2021,90,120,88,108
4/8/2021,100,120,75,95
4/9/2021,110,135,95,115
4/12/2021,140,180,125,145
4/15/2021,,,145,165
4/16/2021,120,160,115,135
4/19/2021,70,110,83,103
4/20/2021,110,130,68,88
4/21/2021,100,130,75,95
4/22/2021,110,130,60,80
4/23/2021,110,130,105,125
4/27/2021,190,240,,
4/28/2021,150,180,,
4/29/2021,150,190,,
4/30/2021,130,160,,
5/3/2021,150,190,,
5/4/2021,145,175,,
5/5/2021,125,140,,
5/6/2021,125,160,,
5/7/2021,130,150,125,145
5/10/2021,90,130,95,115
5/11/2021,110,160,115,135
5/12/2021,110,160,105,125
5/13/2021,175,200,135,155
5/17/2021,150,190,125,145
5/18/2021,120,155,195,215
5/19/2021,170,200,195,215
5/20/2021,300,350,245,265
5/21/2021,250,300,295,315
5/24/2021,200,,275,
5/25/2021,175,220,185,
5/31/2021,135,170,165,
6/3/2021,130,160,238,
6/4/2021,130,160,135,
6/8/2021,150,200,135,
6/9/2021,180,240,135,
6/10/2021,,,,
6/11/2021,,,,
6/14/2021,,,,
6/15/2021,,,,
6/16/2021,,,,
6/17/2021,180,230,210,
6/18/2021,180,240,205,
6/21/2021,300,340,295,
6/22/2021,275,320,265,285
6/23/2021,250,300,220,240
6/25/2021,200,250,215,235
6/28/2021,175,240,,
6/29/2021,175,230,165,185
6/30/2021,175,230,155,175
